Pressure : 1008.13301 hPa,  Temp : 31.07778 deg,  Hum : 66.02709 pct  
Pressure : 1007.99448 hPa,  Temp : 32.27251 deg,  Hum : 61.98096 pct  
Pressure : 1007.98109 hPa,  Temp : 32.24698 deg,  Hum : 62.15555 pct  
Pressure : 1008.02779 hPa,  Temp : 32.29293 deg,  Hum : 62.40357 pct  
Pressure : 1007.96296 hPa,  Temp : 32.28783 deg,  Hum : 62.35649 pct  
Pressure : 1007.99448 hPa,  Temp : 32.27251 deg,  Hum : 61.96338 pct  
Pressure : 1008.04771 hPa,  Temp : 32.28783 deg,  Hum : 61.99920 pct  
Pressure : 1008.04771 hPa,  Temp : 32.28783 deg,  Hum : 62.23349 pct  
Pressure : 1008.08756 hPa,  Temp : 32.27761 deg,  Hum : 62.23304 pct  
Pressure : 1008.00607 hPa,  Temp : 32.26230 deg,  Hum : 62.70088 pct  
Pressure : 1008.00934 hPa,  Temp : 32.24698 deg,  Hum : 62.62991 pct  
Pressure : 1008.04591 hPa,  Temp : 32.25209 deg,  Hum : 62.72384 pct  
Pressure : 1008.05424 hPa,  Temp : 32.25719 deg,  Hum : 62.61866 pct  
Pressure : 1007.98109 hPa,  Temp : 32.24698 deg,  Hum : 62.77631 pct  
Pressure : 1008.00934 hPa,  Temp : 32.24698 deg,  Hum : 62.72946 pct  
Pressure : 1008.01766 hPa,  Temp : 32.25209 deg,  Hum : 62.81167 pct  
Pressure : 1007.98109 hPa,  Temp : 32.24698 deg,  Hum : 62.57721 pct  
Pressure : 1007.96950 hPa,  Temp : 32.25719 deg,  Hum : 62.97001 pct  
Pressure : 1007.96117 hPa,  Temp : 32.25209 deg,  Hum : 63.06932 pct  
Pressure : 1008.04265 hPa,  Temp : 32.26740 deg,  Hum : 62.03345 pct  
Pressure : 1008.02273 hPa,  Temp : 32.27251 deg,  Hum : 63.22835 pct  
Pressure : 1008.02273 hPa,  Temp : 32.27251 deg,  Hum : 63.38644 pct  
Pressure : 1008.01113 hPa,  Temp : 32.28272 deg,  Hum : 63.36350 pct  
Pressure : 1007.99448 hPa,  Temp : 32.27251 deg,  Hum : 62.12739 pct  
Pressure : 1007.92965 hPa,  Temp : 32.26740 deg,  Hum : 63.65552 pct  
Pressure : 1007.99448 hPa,  Temp : 32.27251 deg,  Hum : 64.83816 pct  
Pressure : 1007.99121 hPa,  Temp : 32.28783 deg,  Hum : 63.24663 pct  
Pressure : 1007.98615 hPa,  Temp : 32.26740 deg,  Hum : 62.02173 pct  
Pressure : 1008.04771 hPa,  Temp : 32.28783 deg,  Hum : 63.76187 pct  
Pressure : 1007.99954 hPa,  Temp : 32.29293 deg,  Hum : 63.89091 pct  
Pressure : 1008.03612 hPa,  Temp : 32.29804 deg,  Hum : 64.14288 pct  
Pressure : 1008.05277 hPa,  Temp : 32.30825 deg,  Hum : 64.52387 pct  
Pressure : 1008.01293 hPa,  Temp : 32.31846 deg,  Hum : 64.47755 pct  
Pressure : 1008.00787 hPa,  Temp : 32.29804 deg,  Hum : 64.82773 pct  
Pressure : 1007.94125 hPa,  Temp : 32.25719 deg,  Hum : 62.90560 pct  
Pressure : 1007.99594 hPa,  Temp : 32.22145 deg,  Hum : 62.61705 pct  
Pressure : 1008.02745 hPa,  Temp : 32.20613 deg,  Hum : 62.31772 pct  
Pressure : 1007.99414 hPa,  Temp : 32.18571 deg,  Hum : 61.98887 pct  
Pressure : 1007.97422 hPa,  Temp : 32.19082 deg,  Hum : 61.94810 pct  
Pressure : 1007.96589 hPa,  Temp : 32.18571 deg,  Hum : 62.03572 pct  
Pressure : 1007.94598 hPa,  Temp : 32.19082 deg,  Hum : 62.60981 pct  
Pressure : 1007.97422 hPa,  Temp : 32.19082 deg,  Hum : 62.66836 pct  
Pressure : 1008.00247 hPa,  Temp : 32.19082 deg,  Hum : 62.66836 pct  
Pressure : 1007.95430 hPa,  Temp : 32.19592 deg,  Hum : 62.91450 pct  
Pressure : 1008.02745 hPa,  Temp : 32.20613 deg,  Hum : 63.17258 pct  
Pressure : 1008.01912 hPa,  Temp : 32.20103 deg,  Hum : 63.11965 pct  
Pressure : 1008.01080 hPa,  Temp : 32.19592 deg,  Hum : 63.21894 pct  
Pressure : 1007.97422 hPa,  Temp : 32.19082 deg,  Hum : 63.17187 pct  
Pressure : 1007.96263 hPa,  Temp : 32.20103 deg,  Hum : 63.52359 pct  
Pressure : 1007.97422 hPa,  Temp : 32.19082 deg,  Hum : 62.70935 pct  
Pressure : 1008.00247 hPa,  Temp : 32.19082 deg,  Hum : 63.08991 pct  
Pressure : 1008.00247 hPa,  Temp : 32.19082 deg,  Hum : 63.20699 pct  
Pressure : 1008.00247 hPa,  Temp : 32.19082 deg,  Hum : 63.15431 pct  
Pressure : 1007.98581 hPa,  Temp : 32.18061 deg,  Hum : 62.77914 pct  
Pressure : 1008.01550 hPa,  Temp : 32.12955 deg,  Hum : 62.17379 pct  
Pressure : 1008.01876 hPa,  Temp : 32.11423 deg,  Hum : 62.21995 pct  
Pressure : 1008.05533 hPa,  Temp : 32.11934 deg,  Hum : 62.36069 pct  
Pressure : 1008.01876 hPa,  Temp : 32.11423 deg,  Hum : 62.40145 pct  
Pressure : 1008.01876 hPa,  Temp : 32.11423 deg,  Hum : 62.58879 pct  
Pressure : 1007.99051 hPa,  Temp : 32.11423 deg,  Hum : 63.13905 pct  
Pressure : 1008.01876 hPa,  Temp : 32.11423 deg,  Hum : 63.30879 pct  
Pressure : 1008.08357 hPa,  Temp : 32.11934 deg,  Hum : 62.86416 pct  
Pressure : 1008.01876 hPa,  Temp : 32.11423 deg,  Hum : 63.05125 pct  
Pressure : 1008.04374 hPa,  Temp : 32.12955 deg,  Hum : 63.53192 pct  
Pressure : 1008.02383 hPa,  Temp : 32.13465 deg,  Hum : 63.43266 pct  
Pressure : 1008.08032 hPa,  Temp : 32.13465 deg,  Hum : 63.85991 pct  
Pressure : 1008.02383 hPa,  Temp : 32.13465 deg,  Hum : 63.67849 pct  
Pressure : 1008.03216 hPa,  Temp : 32.13976 deg,  Hum : 63.29828 pct  
Pressure : 1008.00066 hPa,  Temp : 32.15508 deg,  Hum : 63.45118 pct  
Pressure : 1008.04882 hPa,  Temp : 32.14997 deg,  Hum : 63.43924 pct  
Pressure : 1007.96408 hPa,  Temp : 32.14997 deg,  Hum : 63.40997 pct  
Pressure : 1008.02057 hPa,  Temp : 32.14997 deg,  Hum : 63.71433 pct  
Pressure : 1008.06548 hPa,  Temp : 32.16018 deg,  Hum : 63.92552 pct  
Pressure : 1008.10712 hPa,  Temp : 32.18571 deg,  Hum : 63.97942 pct  
Pressure : 1008.04737 hPa,  Temp : 32.20103 deg,  Hum : 63.75773 pct  
Pressure : 1008.03071 hPa,  Temp : 32.19082 deg,  Hum : 64.46542 pct  
Pressure : 1008.02564 hPa,  Temp : 32.17039 deg,  Hum : 64.23618 pct  
Pressure : 1008.09372 hPa,  Temp : 32.16018 deg,  Hum : 64.50487 pct  
Pressure : 1008.07706 hPa,  Temp : 32.14997 deg,  Hum : 64.29371 pct  
Pressure : 1008.03541 hPa,  Temp : 32.12444 deg,  Hum : 63.78920 pct  
Pressure : 1007.98726 hPa,  Temp : 32.12955 deg,  Hum : 63.52022 pct  
Pressure : 1008.06873 hPa,  Temp : 32.14487 deg,  Hum : 63.51509 pct  
Pressure : 1008.03723 hPa,  Temp : 32.16018 deg,  Hum : 64.05427 pct  
Pressure : 1008.09046 hPa,  Temp : 32.17550 deg,  Hum : 64.79820 pct  
Pressure : 1008.04230 hPa,  Temp : 32.18061 deg,  Hum : 65.02080 pct  
Pressure : 1007.98581 hPa,  Temp : 32.18061 deg,  Hum : 64.50003 pct  
Pressure : 1008.06222 hPa,  Temp : 32.17550 deg,  Hum : 64.01404 pct  
Pressure : 1008.03216 hPa,  Temp : 32.13976 deg,  Hum : 63.45632 pct  
Pressure : 1008.04049 hPa,  Temp : 32.14487 deg,  Hum : 63.61459 pct  
Pressure : 1008.03216 hPa,  Temp : 32.13976 deg,  Hum : 63.32169 pct  
Pressure : 1008.03034 hPa,  Temp : 32.10402 deg,  Hum : 62.99810 pct  
Pressure : 1008.09008 hPa,  Temp : 32.08870 deg,  Hum : 62.86276 pct  
Pressure : 1008.03685 hPa,  Temp : 32.07339 deg,  Hum : 62.83865 pct  
Pressure : 1008.01693 hPa,  Temp : 32.07849 deg,  Hum : 63.07886 pct  
Pressure : 1008.12665 hPa,  Temp : 32.09381 deg,  Hum : 63.13810 pct  
Pressure : 1007.98362 hPa,  Temp : 32.05807 deg,  Hum : 63.01354 pct  
Pressure : 1008.05493 hPa,  Temp : 32.03254 deg,  Hum : 63.12356 pct  
Pressure : 1008.03826 hPa,  Temp : 32.02233 deg,  Hum : 63.40983 pct  
Pressure : 1008.03643 hPa,  Temp : 31.98659 deg,  Hum : 62.96928 pct  
Pressure : 1008.11929 hPa,  Temp : 31.95085 deg,  Hum : 62.74527 pct  
Pressure : 1008.11096 hPa,  Temp : 31.94574 deg,  Hum : 62.75674 pct  
Pressure : 1008.02117 hPa,  Temp : 31.92532 deg,  Hum : 62.45151 pct  
Pressure : 1008.06745 hPa,  Temp : 31.88448 deg,  Hum : 62.76565 pct  
Pressure : 1008.02579 hPa,  Temp : 31.85895 deg,  Hum : 62.40757 pct  
Pressure : 1008.13872 hPa,  Temp : 31.85895 deg,  Hum : 62.44268 pct  
Pressure : 1007.97904 hPa,  Temp : 31.81300 deg,  Hum : 62.35871 pct  
Pressure : 1008.02717 hPa,  Temp : 31.80789 deg,  Hum : 62.41113 pct  
Pressure : 1008.09519 hPa,  Temp : 31.79768 deg,  Hum : 62.49843 pct  
Pressure : 1008.10675 hPa,  Temp : 31.78747 deg,  Hum : 62.24640 pct  
Pressure : 1008.10998 hPa,  Temp : 31.77215 deg,  Hum : 62.47388 pct  
Pressure : 1008.09977 hPa,  Temp : 31.73130 deg,  Hum : 62.73526 pct  
Pressure : 1008.07477 hPa,  Temp : 31.71599 deg,  Hum : 62.47720 pct  
Pressure : 1008.06644 hPa,  Temp : 31.71088 deg,  Hum : 62.71678 pct  
Pressure : 1008.04977 hPa,  Temp : 31.70067 deg,  Hum : 62.96780 pct  
Pressure : 1008.12934 hPa,  Temp : 31.68025 deg,  Hum : 62.82066 pct  
Pressure : 1008.05111 hPa,  Temp : 31.64961 deg,  Hum : 62.91282 pct  
Pressure : 1008.03956 hPa,  Temp : 31.65983 deg,  Hum : 63.01855 pct  
Pressure : 1008.05944 hPa,  Temp : 31.65472 deg,  Hum : 63.24051 pct  
Pressure : 1008.05944 hPa,  Temp : 31.65472 deg,  Hum : 63.13526 pct  
Pressure : 1008.09600 hPa,  Temp : 31.65983 deg,  Hum : 63.14719 pct  
Pressure : 1008.09089 hPa,  Temp : 31.63940 deg,  Hum : 63.41520 pct  
Pressure : 1008.02289 hPa,  Temp : 31.64961 deg,  Hum : 62.95960 pct  
Pressure : 1008.11589 hPa,  Temp : 31.65472 deg,  Hum : 63.19958 pct  
Pressure : 1008.07933 hPa,  Temp : 31.64961 deg,  Hum : 63.20519 pct  
Pressure : 1008.03122 hPa,  Temp : 31.65472 deg,  Hum : 63.49778 pct  
Pressure : 1007.99467 hPa,  Temp : 31.64961 deg,  Hum : 63.62617 pct  
Pressure : 1008.09922 hPa,  Temp : 31.64451 deg,  Hum : 63.56746 pct  
Pressure : 1008.07422 hPa,  Temp : 31.62919 deg,  Hum : 63.83565 pct  
Pressure : 1008.14222 hPa,  Temp : 31.61898 deg,  Hum : 63.97546 pct  
Pressure : 1008.08899 hPa,  Temp : 31.60366 deg,  Hum : 64.17345 pct  
Pressure : 1008.07744 hPa,  Temp : 31.61387 deg,  Hum : 64.22071 pct  
Pressure : 1008.06077 hPa,  Temp : 31.60366 deg,  Hum : 63.99225 pct  
Pressure : 1008.09221 hPa,  Temp : 31.58835 deg,  Hum : 64.04411 pct  
Pressure : 1008.07232 hPa,  Temp : 31.59345 deg,  Hum : 64.02683 pct  
Pressure : 1008.09221 hPa,  Temp : 31.58835 deg,  Hum : 64.13179 pct  
Pressure : 1007.99922 hPa,  Temp : 31.58324 deg,  Hum : 64.01464 pct  
Pressure : 1007.97422 hPa,  Temp : 31.56792 deg,  Hum : 63.97883 pct  
Pressure : 1007.93255 hPa,  Temp : 31.54239 deg,  Hum : 63.90161 pct  
Pressure : 1008.01530 hPa,  Temp : 31.50665 deg,  Hum : 63.33880 pct  
Pressure : 1007.97684 hPa,  Temp : 31.46581 deg,  Hum : 63.13230 pct  
Pressure : 1008.06148 hPa,  Temp : 31.46581 deg,  Hum : 63.29596 pct  
Pressure : 1007.99672 hPa,  Temp : 31.46070 deg,  Hum : 63.41261 pct  
Pressure : 1007.99672 hPa,  Temp : 31.46070 deg,  Hum : 63.34248 pct  
Pressure : 1008.09611 hPa,  Temp : 31.43518 deg,  Hum : 63.56335 pct  
Pressure : 1008.07302 hPa,  Temp : 31.45560 deg,  Hum : 63.64614 pct  
Pressure : 1008.05314 hPa,  Temp : 31.46070 deg,  Hum : 63.93273 pct  
Pressure : 1008.00505 hPa,  Temp : 31.46581 deg,  Hum : 63.59987 pct  
Pressure : 1008.04993 hPa,  Temp : 31.47602 deg,  Hum : 63.29060 pct  
Pressure : 1007.94541 hPa,  Temp : 31.48113 deg,  Hum : 63.28499 pct  
Pressure : 1007.97041 hPa,  Temp : 31.49644 deg,  Hum : 63.47275 pct  
Pressure : 1008.06018 hPa,  Temp : 31.51687 deg,  Hum : 63.65491 pct  
Pressure : 1007.96398 hPa,  Temp : 31.52708 deg,  Hum : 63.54434 pct  
Pressure : 1007.96398 hPa,  Temp : 31.52708 deg,  Hum : 63.39237 pct  
Pressure : 1007.91588 hPa,  Temp : 31.53218 deg,  Hum : 63.85436 pct  
Pressure : 1008.07042 hPa,  Temp : 31.55771 deg,  Hum : 64.15367 pct  
Pressure : 1008.05887 hPa,  Temp : 31.56792 deg,  Hum : 64.09572 pct  
Pressure : 1008.01077 hPa,  Temp : 31.57303 deg,  Hum : 64.23624 pct  
Pressure : 1008.03255 hPa,  Temp : 31.60366 deg,  Hum : 64.34295 pct  
Pressure : 1008.02933 hPa,  Temp : 31.61898 deg,  Hum : 64.05729 pct  
Pressure : 1008.07422 hPa,  Temp : 31.62919 deg,  Hum : 64.25069 pct  
Pressure : 1008.03122 hPa,  Temp : 31.65472 deg,  Hum : 63.73165 pct  
Pressure : 1008.01133 hPa,  Temp : 31.65983 deg,  Hum : 63.69097 pct  
Pressure : 1008.09278 hPa,  Temp : 31.67514 deg,  Hum : 63.65077 pct  
Pressure : 1008.06778 hPa,  Temp : 31.65983 deg,  Hum : 63.29922 pct  
Pressure : 1008.04789 hPa,  Temp : 31.66493 deg,  Hum : 63.04802 pct  
Pressure : 1008.01133 hPa,  Temp : 31.65983 deg,  Hum : 62.94837 pct  
Pressure : 1008.02477 hPa,  Temp : 31.68535 deg,  Hum : 63.00803 pct  
Pressure : 1008.02800 hPa,  Temp : 31.67004 deg,  Hum : 62.70322 pct  
Pressure : 1008.13767 hPa,  Temp : 31.68535 deg,  Hum : 63.11914 pct  
Pressure : 1008.04278 hPa,  Temp : 31.64451 deg,  Hum : 62.69036 pct  
Pressure : 1008.00111 hPa,  Temp : 31.61898 deg,  Hum : 62.75352 pct  
Pressure : 1008.05566 hPa,  Temp : 31.58324 deg,  Hum : 62.76358 pct  
Pressure : 1007.99600 hPa,  Temp : 31.59856 deg,  Hum : 62.93385 pct  
Pressure : 1008.02100 hPa,  Temp : 31.61387 deg,  Hum : 62.56031 pct  
Pressure : 1008.02611 hPa,  Temp : 31.63430 deg,  Hum : 62.95304 pct  
Pressure : 1007.98633 hPa,  Temp : 31.64451 deg,  Hum : 63.10555 pct  
Pressure : 1008.00622 hPa,  Temp : 31.63940 deg,  Hum : 62.84217 pct  
Pressure : 1007.99278 hPa,  Temp : 31.61387 deg,  Hum : 62.81761 pct  
Pressure : 1007.99600 hPa,  Temp : 31.59856 deg,  Hum : 62.80521 pct  
Pressure : 1008.03255 hPa,  Temp : 31.60366 deg,  Hum : 62.76452 pct  
Pressure : 1007.93956 hPa,  Temp : 31.59856 deg,  Hum : 62.61810 pct  
Pressure : 1008.05566 hPa,  Temp : 31.58324 deg,  Hum : 62.96823 pct  
Pressure : 1007.95945 hPa,  Temp : 31.59345 deg,  Hum : 62.87515 pct  
Pressure : 1008.03577 hPa,  Temp : 31.58835 deg,  Hum : 62.88076 pct  
Pressure : 1008.01077 hPa,  Temp : 31.57303 deg,  Hum : 62.86836 pct  
Pressure : 1008.08066 hPa,  Temp : 31.59856 deg,  Hum : 62.94555 pct  
Pressure : 1008.07744 hPa,  Temp : 31.61387 deg,  Hum : 63.07489 pct  
Pressure : 1008.01778 hPa,  Temp : 31.62919 deg,  Hum : 62.95865 pct  
Pressure : 1007.99278 hPa,  Temp : 31.61387 deg,  Hum : 63.11582 pct  
Pressure : 1007.91134 hPa,  Temp : 31.59856 deg,  Hum : 62.74674 pct  
Pressure : 1008.01077 hPa,  Temp : 31.57303 deg,  Hum : 62.61109 pct  
Pressure : 1007.97933 hPa,  Temp : 31.58835 deg,  Hum : 62.57085 pct  
Pressure : 1007.95622 hPa,  Temp : 31.60877 deg,  Hum : 62.76475 pct  
Pressure : 1007.95945 hPa,  Temp : 31.59345 deg,  Hum : 62.69973 pct  
Pressure : 1007.94467 hPa,  Temp : 31.61898 deg,  Hum : 62.50791 pct  
Pressure : 1007.94789 hPa,  Temp : 31.60366 deg,  Hum : 62.11539 pct  
Pressure : 1007.95111 hPa,  Temp : 31.58835 deg,  Hum : 62.57670 pct  
Pressure : 1007.97100 hPa,  Temp : 31.58324 deg,  Hum : 62.33086 pct  
Pressure : 1007.94467 hPa,  Temp : 31.61898 deg,  Hum : 62.32077 pct  
Pressure : 1007.91967 hPa,  Temp : 31.60366 deg,  Hum : 62.47213 pct  
Pressure : 1008.00433 hPa,  Temp : 31.60366 deg,  Hum : 62.58909 pct  
Pressure : 1008.05755 hPa,  Temp : 31.61898 deg,  Hum : 62.46698 pct  
Pressure : 1008.06267 hPa,  Temp : 31.63940 deg,  Hum : 62.44450 pct  
Pressure : 1007.99467 hPa,  Temp : 31.64961 deg,  Hum : 62.74908 pct  
Pressure : 1007.88823 hPa,  Temp : 31.61898 deg,  Hum : 62.55470 pct  
Pressure : 1008.06911 hPa,  Temp : 31.60877 deg,  Hum : 62.17410 pct  
Pressure : 1007.86968 hPa,  Temp : 31.57303 deg,  Hum : 62.34795 pct  
Pressure : 1007.96910 hPa,  Temp : 31.54750 deg,  Hum : 62.15383 pct  
Pressure : 1008.01910 hPa,  Temp : 31.57813 deg,  Hum : 62.28385 pct  
Pressure : 1007.87479 hPa,  Temp : 31.59345 deg,  Hum : 62.43659 pct  
Pressure : 1007.87479 hPa,  Temp : 31.59345 deg,  Hum : 62.17342 pct  
Pressure : 1007.94467 hPa,  Temp : 31.61898 deg,  Hum : 62.74183 pct  
Pressure : 1007.88823 hPa,  Temp : 31.61898 deg,  Hum : 62.37925 pct  
Pressure : 1007.97289 hPa,  Temp : 31.61898 deg,  Hum : 62.29738 pct  
Pressure : 1007.95811 hPa,  Temp : 31.64451 deg,  Hum : 62.39794 pct  
Pressure : 1008.03956 hPa,  Temp : 31.65983 deg,  Hum : 62.49806 pct  
Pressure : 1007.96000 hPa,  Temp : 31.68025 deg,  Hum : 62.61596 pct  
Pressure : 1007.97155 hPa,  Temp : 31.67004 deg,  Hum : 62.47513 pct  
Pressure : 1007.99655 hPa,  Temp : 31.68535 deg,  Hum : 62.38223 pct  
Pressure : 1008.01832 hPa,  Temp : 31.71599 deg,  Hum : 62.20227 pct  
Pressure : 1007.98177 hPa,  Temp : 31.71088 deg,  Hum : 62.36583 pct  
Pressure : 1007.99520 hPa,  Temp : 31.73641 deg,  Hum : 62.37867 pct  
Pressure : 1007.98874 hPa,  Temp : 31.76704 deg,  Hum : 62.42685 pct  
Pressure : 1008.01374 hPa,  Temp : 31.78236 deg,  Hum : 62.40999 pct  
Pressure : 1007.98228 hPa,  Temp : 31.79768 deg,  Hum : 62.66224 pct  
Pressure : 1008.00727 hPa,  Temp : 31.81300 deg,  Hum : 62.38211 pct  
Pressure : 1007.96747 hPa,  Temp : 31.82321 deg,  Hum : 62.38257 pct  
Pressure : 1008.02070 hPa,  Temp : 31.83852 deg,  Hum : 62.55878 pct  
Pressure : 1007.92120 hPa,  Temp : 31.86405 deg,  Hum : 62.24396 pct  
Pressure : 1007.95776 hPa,  Temp : 31.86916 deg,  Hum : 62.51336 pct  
Pressure : 1008.07578 hPa,  Temp : 31.88958 deg,  Hum : 62.14561 pct  
Pressure : 1007.94295 hPa,  Temp : 31.89469 deg,  Hum : 61.99953 pct  
Pressure : 1008.05264 hPa,  Temp : 31.91000 deg,  Hum : 62.00020 pct  
Pressure : 1007.98969 hPa,  Temp : 31.94064 deg,  Hum : 61.94887 pct  
Pressure : 1008.03459 hPa,  Temp : 31.95085 deg,  Hum : 62.07808 pct  
Pressure : 1008.03459 hPa,  Temp : 31.95085 deg,  Hum : 62.06052 pct  
Pressure : 1007.95496 hPa,  Temp : 31.97127 deg,  Hum : 62.23117 pct  
Pressure : 1007.97162 hPa,  Temp : 31.98148 deg,  Hum : 62.21992 pct  
Pressure : 1007.94847 hPa,  Temp : 32.00191 deg,  Hum : 62.48422 pct  
Pressure : 1007.95355 hPa,  Temp : 32.02233 deg,  Hum : 62.60805 pct  
Pressure : 1008.04335 hPa,  Temp : 32.04275 deg,  Hum : 62.24605 pct  
Pressure : 1007.93547 hPa,  Temp : 32.06317 deg,  Hum : 61.95423 pct  
Pressure : 1008.04192 hPa,  Temp : 32.09381 deg,  Hum : 62.25417 pct  
Pressure : 1007.98218 hPa,  Temp : 32.10913 deg,  Hum : 62.27242 pct  
Pressure : 1007.96734 hPa,  Temp : 32.13465 deg,  Hum : 61.98078 pct  
Pressure : 1007.95576 hPa,  Temp : 32.14487 deg,  Hum : 61.80555 pct  
Pressure : 1007.91592 hPa,  Temp : 32.15508 deg,  Hum : 61.80599 pct  
Pressure : 1007.99414 hPa,  Temp : 32.18571 deg,  Hum : 62.05329 pct  
Pressure : 1007.93439 hPa,  Temp : 32.20103 deg,  Hum : 61.74942 pct  
Pressure : 1007.91120 hPa,  Temp : 32.22145 deg,  Hum : 61.67416 pct  
Pressure : 1007.90794 hPa,  Temp : 32.23677 deg,  Hum : 61.35264 pct  
Pressure : 1007.95284 hPa,  Temp : 32.24698 deg,  Hum : 61.45852 pct  
Pressure : 1007.96117 hPa,  Temp : 32.25209 deg,  Hum : 61.36501 pct  
Pressure : 1007.92638 hPa,  Temp : 32.28272 deg,  Hum : 61.53034 pct  
Pressure : 1008.01619 hPa,  Temp : 32.30314 deg,  Hum : 61.35545 pct  
Pressure : 1007.95137 hPa,  Temp : 32.29804 deg,  Hum : 61.32008 pct  
Pressure : 1007.96802 hPa,  Temp : 32.30825 deg,  Hum : 60.84004 pct  
Pressure : 1007.88832 hPa,  Temp : 32.32867 deg,  Hum : 60.94636 pct  
Pressure : 1008.04297 hPa,  Temp : 32.35420 deg,  Hum : 60.76575 pct  
Pressure : 1007.97486 hPa,  Temp : 32.36441 deg,  Hum : 60.70170 pct  
Pressure : 1007.92668 hPa,  Temp : 32.36952 deg,  Hum : 60.80154 pct  
Pressure : 1007.95166 hPa,  Temp : 32.38483 deg,  Hum : 60.53842 pct  
Pressure : 1007.99657 hPa,  Temp : 32.39505 deg,  Hum : 60.73225 pct  
Pressure : 1007.91685 hPa,  Temp : 32.41547 deg,  Hum : 60.55138 pct  
Pressure : 1007.95671 hPa,  Temp : 32.40526 deg,  Hum : 60.39856 pct  
Pressure : 1007.99329 hPa,  Temp : 32.41036 deg,  Hum : 60.52773 pct  
Pressure : 1007.93855 hPa,  Temp : 32.44610 deg,  Hum : 60.77538 pct  
Pressure : 1007.91029 hPa,  Temp : 32.44610 deg,  Hum : 60.55262 pct  
Pressure : 1007.87875 hPa,  Temp : 32.46142 deg,  Hum : 60.28943 pct  
Pressure : 1000.70673 hPa,  Temp : 32.48184 deg,  Hum : 60.13780 pct  
Pressure : 1008.04174 hPa,  Temp : 32.49205 deg,  Hum : 60.34342 pct  
Pressure : 1008.04350 hPa,  Temp : 32.52779 deg,  Hum : 60.42107 pct  
Pressure : 1008.01852 hPa,  Temp : 32.51248 deg,  Hum : 60.37355 pct  
Pressure : 1007.97033 hPa,  Temp : 32.51758 deg,  Hum : 60.09817 pct  
Pressure : 1007.91885 hPa,  Temp : 32.53801 deg,  Hum : 59.87613 pct  
Pressure : 1007.93550 hPa,  Temp : 32.54822 deg,  Hum : 59.99382 pct  
Pressure : 1007.95543 hPa,  Temp : 32.54311 deg,  Hum : 59.72971 pct  
Pressure : 1007.91227 hPa,  Temp : 32.56864 deg,  Hum : 59.87733 pct  
Pressure : 1007.92060 hPa,  Temp : 32.57375 deg,  Hum : 59.62532 pct  
Pressure : 1007.93725 hPa,  Temp : 32.58396 deg,  Hum : 59.90138 pct  
Pressure : 1007.93396 hPa,  Temp : 32.59928 deg,  Hum : 59.72015 pct  
Pressure : 1007.91402 hPa,  Temp : 32.60438 deg,  Hum : 59.71448 pct  
Pressure : 1008.02378 hPa,  Temp : 32.61970 deg,  Hum : 59.86172 pct  
Pressure : 1008.02049 hPa,  Temp : 32.63502 deg,  Hum : 60.22011 pct  
Pressure : 1007.99223 hPa,  Temp : 32.63502 deg,  Hum : 60.19078 pct  
Pressure : 1007.98894 hPa,  Temp : 32.65033 deg,  Hum : 59.93917 pct  
Pressure : 1007.92911 hPa,  Temp : 32.66565 deg,  Hum : 59.99256 pct  
Pressure : 1007.90917 hPa,  Temp : 32.67076 deg,  Hum : 60.22739 pct  
Pressure : 1007.90414 hPa,  Temp : 32.65033 deg,  Hum : 60.04475 pct  
Pressure : 1007.89252 hPa,  Temp : 32.66054 deg,  Hum : 59.82811 pct  
Pressure : 1007.96570 hPa,  Temp : 32.67076 deg,  Hum : 60.06901 pct  
Pressure : 1007.86598 hPa,  Temp : 32.69628 deg,  Hum : 60.04655 pct  
Pressure : 1007.91419 hPa,  Temp : 32.69118 deg,  Hum : 60.35138 pct  
Pressure : 1007.96743 hPa,  Temp : 32.70650 deg,  Hum : 59.64215 pct  
Pressure : 1007.90587 hPa,  Temp : 32.68607 deg,  Hum : 59.69417 pct  
Pressure : 1007.95078 hPa,  Temp : 32.69628 deg,  Hum : 59.38947 pct  
Pressure : 1007.90257 hPa,  Temp : 32.70139 deg,  Hum : 59.70649 pct  
Pressure : 1007.94749 hPa,  Temp : 32.71160 deg,  Hum : 59.46046 pct  
Pressure : 1007.92252 hPa,  Temp : 32.69628 deg,  Hum : 59.54789 pct  
Pressure : 1007.95911 hPa,  Temp : 32.70139 deg,  Hum : 59.32512 pct  
Pressure : 1007.89927 hPa,  Temp : 32.71671 deg,  Hum : 59.54867 pct  
Pressure : 1007.85938 hPa,  Temp : 32.72692 deg,  Hum : 59.52559 pct  
Pressure : 1007.92094 hPa,  Temp : 32.74734 deg,  Hum : 59.48529 pct  
Pressure : 1007.92926 hPa,  Temp : 32.75245 deg,  Hum : 59.68499 pct  
Pressure : 1007.88435 hPa,  Temp : 32.74224 deg,  Hum : 59.60832 pct  
Pressure : 1007.87603 hPa,  Temp : 32.73713 deg,  Hum : 59.46143 pct  
Pressure : 1007.94921 hPa,  Temp : 32.74734 deg,  Hum : 59.28578 pct  
Pressure : 1007.85608 hPa,  Temp : 32.74224 deg,  Hum : 59.08606 pct  
Pressure : 1007.88607 hPa,  Temp : 32.77798 deg,  Hum : 59.22237 pct  
Pressure : 1007.92754 hPa,  Temp : 32.71671 deg,  Hum : 59.13206 pct  
Pressure : 1007.95251 hPa,  Temp : 32.73202 deg,  Hum : 59.07395 pct  
